sample,sex,5rkoq8,UY2L9w,JeaMAf,sTE1Lh,HRycv8,leBKkU,IoA96c,QEjQSN,TlMBKX,JVwTRA,NTRpFI,MpUdlW,o9rIrP,5KuU3v,Wlbc5X,ezHptm,bndusG,65niuq,MZGScT,c0WlCm,dr3iqO,Hn4yUh,Hb2Lzc,MG2amx,kYhk3H,DWQHLA,ez11SZ,qOOFM0,7BKj9h,ke8Qra,qyLdfI,sik7jn,fg96mO,X7cdMs,Luv2A7,l8RIEa,GgSJ3l,2QHkVh,aljB8a,KQDR0q,5eQaBF,ZwbMH0,VrDWxD,E9F53X,QcQdfG,joFsSV,WzPtUt,NadAtC,mBDwBT,9KNs0C,IftfN6,HIlW21,KHtVL1,xelXWJ,TSTUjt,2SAvc2,HovgC8,Q0H0EL,r4HAeL,p4cVfW,01RY1f,1LEQ2C,hlLXaq
1,male,52,-0.11808978,-0.394,0.990519975,1.239701936,0.347678038,2.002912489,0.140106286,-0.474718075,2.208320287,0.243369371,0.270891154,0.206286435,0.847485278,1.02978505,1.461167998,0.043535484,1.194240648,0.789075674,0.251897747,-0.491807761,-0.174705831,0.714558157,1.316171276,-0.394,1.905149444,-0.011210709,-0.089692215,-0.160038618,1.075189877,0.193568517,1.526244647,0.469528451,0.391234596,-0.394,0.261859627,-0.49098988,-0.130554712,-0.045881352,-0.050537221,0.39031491,-0.394,0.805108182,-0.394,-0.379536413,0.97989079,-0.503843448,-0.394,-0.394,0.169482904,-0.394,-0.394,2.604263755,0.870816421,-0.453065156,0.041452289,0.078743981,0.041452289,0.942287541,-0.380319539,-0.279226078,-0.385921999,2.349800851
2,male,41,-0.325699256,-0.394,1.209745612,1.205266606,0.306143803,1.943858222,0.368292693,-0.358716028,2.159072619,0.214673953,0.193087343,0.256543657,0.82956352,1.131367586,1.643487552,0.396871727,1.21251272,1.030632083,0.189871046,-0.449276394,0.369598513,0.701668031,1.445977914,-0.394,2.088862628,0.021412365,-0.323914193,-0.068829449,1.031789408,0.143388683,1.776897367,0.492054261,0.783932306,-0.394,0.448182718,-0.298330075,-0.36599308,-0.194329668,0.208307182,0.643097385,-0.394,0.886363513,-0.394,-0.430832105,0.880453686,-0.334396544,-0.394,-0.394,0.169949243,-0.394,-0.394,2.674987773,0.836144112,-0.413769916,0.755486378,0.493731588,0.755486378,0.834244568,-0.19090665,-0.136420451,-0.457342031,2.327097772
3,male,62,0.376463964,-0.394,1.172513755,1.466907604,0.789423777,2.12755454,0.379201403,-0.394502793,2.414114762,0.70018904,0.745363075,0.447037153,0.95666503,1.320368113,1.333882792,0.44962636,1.198385405,1.189431121,0.639198733,-0.024300543,0.635988698,0.91470628,1.795203112,-0.394,1.955541161,0.48595433,0.221681511,0.014343125,1.383776815,0.643483044,2.105522265,1.013964929,0.888470559,-0.394,0.620155538,-0.239174165,-0.056653752,-0.27106193,-0.443777549,0.085923527,-0.394,0.978078278,-0.394,-0.193675802,1.435547215,-0.290223744,-0.394,-0.394,0.352945855,-0.394,-0.394,2.547590987,0.994113137,0.073053018,0.34056676,0.932878183,0.34056676,1.337835069,-0.145700079,0.26393091,-0.290807308,2.612517175
4,male,50,0.449129572,-0.394,1.24992315,1.400381183,0.840899937,2.212947212,0.456699167,-0.378047061,2.480477604,0.69978137,0.743607427,0.291561887,0.914831408,1.311573709,1.560091695,0.431024491,1.305418053,0.906274106,0.664748971,0.008984714,0.456363266,0.858963387,1.836844715,-0.394,2.040964972,0.514383353,0.284715744,0.085535317,1.501250657,0.672497862,2.121056979,0.942547054,0.873710776,-0.394,0.515896235,-0.462736393,-0.019303351,-0.677660806,0.609187754,-0.394,0.5930226,0.97583509,-0.394,-0.075123422,1.400425291,-0.235244429,-0.394,-0.394,0.342516697,-0.394,-0.394,2.666027452,0.972552956,0.058697106,0.433595012,0.761074146,0.433595012,1.32919888,-0.311564641,0.288320889,-0.143710718,2.658806225
5,male,56,0.13317609,-0.394,0.993738788,1.40559469,0.524051512,1.824588735,0.296336527,-0.606247682,2.117601937,0.378780237,0.422736945,0.374964098,0.761238583,1.251668356,1.074499181,0.190829427,1.053779933,1.044774228,0.328891513,-0.302480793,0.55714254,0.785108599,1.530326993,-0.394,1.775148201,0.185863861,0.005377168,-0.111155243,1.09590329,0.308963065,1.799200751,0.697591228,0.67477709,-0.394,0.597840201,-0.645565901,-0.35991795,-0.778367901,-0.250711714,-0.63444847,-0.208244115,0.816283565,-0.394,-0.41637814,1.123821391,-0.567285718,-0.394,-0.394,0.184421307,-0.394,-0.394,2.311267418,0.842684128,-0.279507643,-0.112101678,0.854906496,-0.112101678,1.051858818,-0.256680534,-0.122196737,-0.260911152,2.320259979
6,male,63,0.06973847,0.166020603,1.123579532,1.406370219,0.517927542,1.859690481,0.307633734,-0.532182054,2.163524411,0.425343371,0.523065075,0.415339878,0.857078819,1.200344091,1.167425546,0.205498792,1.156236233,1.063332517,0.377431167,-0.303395984,0.602116884,0.827478443,1.530008966,-0.394,1.776509507,0.20791799,-0.065024258,-0.088387267,1.08892518,0.295119944,1.840418383,0.724004405,0.633988602,-0.394,0.638390512,-0.609031155,-0.252815554,-0.790654253,-0.032983964,-1.036258217,0.09766649,0.851625686,-0.394,-0.341409771,1.182600987,-0.520425125,-0.394,-0.394,0.25352603,-0.394,-0.394,2.343101938,0.914962065,-0.325156441,-0.471370132,0.875511367,-0.471370132,1.110365311,-0.148313925,-0.040030978,-0.439691625,2.351281652
7,male,47,0.389383043,0.334470557,1.22240429,1.328274744,0.788457246,2.103410388,0.418152399,-0.503240542,2.382594967,0.65847705,0.703072433,0.429115758,0.865021825,1.459704681,1.304062891,0.485367757,1.1449721,1.247319635,0.646095429,-0.048187467,0.544530299,0.915033941,1.736941941,-0.394,2.05311613,0.486124144,0.307765733,0.108540957,1.418648311,0.676612259,2.054485901,1.023280933,0.844709434,-0.394,0.486018323,-0.177195808,0.034029471,-0.599382955,-0.10816098,-0.770160824,0.174703211,1.040470366,-0.394,-0.114051188,1.396434976,-0.50379979,-0.394,-0.394,0.261750644,-0.394,-0.394,2.555097804,0.9117447,-0.013253906,-0.027969384,0.774984913,-0.027969384,1.331255153,-0.075252839,0.275974425,-0.160791792,2.571311628
8,male,45,0.82302447,0.097587043,1.532495399,1.594940856,1.180421722,2.524259261,0.670784852,-0.012020274,2.82830881,1.063084575,1.119900738,0.745449015,1.274893552,1.645929149,1.795464387,0.822875188,1.528106585,1.446576615,0.969333875,0.382635658,0.906236144,1.225148609,2.219938604,-0.394,2.459976507,0.883053425,0.695926534,0.379803424,1.75360656,1.047730503,2.48973244,1.526744134,1.211742617,-0.394,0.937862917,0.122271019,0.372130755,-0.661204229,-0.009655463,-0.795670712,-0.213906843,1.375372415,-0.394,0.229601358,1.775942355,0.055348663,-0.394,-0.394,0.605440096,-0.394,-0.394,2.964584075,1.271150621,0.458045903,-0.117202246,1.07507154,-0.117202246,1.746344281,0.124862561,0.656674339,0.039472376,3.015449591
9,male,46,0.344635843,0.069892667,1.266624615,1.356287241,0.730909461,2.139141849,0.468196403,-0.282279398,2.419731975,0.616395374,0.664056404,0.516096057,1.006554111,1.441959932,1.532469081,0.571020902,1.296098569,1.162438295,0.568125216,-0.104575385,0.680647681,0.877558739,1.764549274,-0.394,2.154565614,0.402222942,0.199170604,0.075321651,1.358325826,0.578874752,2.114680082,1.02796585,0.959279013,-0.394,0.699367148,-0.045881352,-0.050537221,-0.840484522,0.049075294,-0.549476071,0.15401562,1.024781205,-0.394,-0.151083049,1.361271003,-0.237166903,-0.394,-0.394,0.265861831,-0.394,-0.394,2.614799806,0.941711913,-0.019118058,0.110013832,0.640979509,0.110013832,1.311669048,-0.068954003,0.248762151,-0.277953924,2.618190383
10,male,61,0.620958964,0.362311903,1.12124017,1.439467416,1.009987762,2.44301903,0.588773931,-0.261787258,2.737819309,0.96910345,1.046901063,0.679461997,1.154955906,1.5101894,1.813496671,0.560037645,1.408965089,1.257065484,0.918363622,0.189518882,0.73261479,0.950462786,2.107460978,-0.394,0.609187754,-0.394,0.5930226,-0.677660806,-0.335045538,0.919586027,2.429166797,1.356462717,0.899652622,-0.394,1.046520908,-0.194329668,0.208307182,-0.883534436,-0.451751902,-0.78526582,0.202210275,1.202578438,-0.394,0.120922207,1.684632424,-0.023943265,-0.394,-0.394,0.44923007,-0.394,-0.394,2.816022711,1.108809371,0.041452289,0.096877494,0.784036656,0.096877494,1.612529209,-0.030837939,0.487130973,-0.024620448,2.917057617
11,male,55,0.17248467,-0.394,1.0077536,1.387980138,0.430091658,1.880882871,0.241673137,-0.600040593,2.165433811,0.392866936,0.484230696,0.376255452,0.812334024,1.283346794,1.216341352,0.32648023,1.094608554,0.953113479,0.366585014,-0.39777742,0.464417808,0.764761948,1.545686693,-0.394,-0.250711714,-0.63444847,-0.208244115,-0.778367901,-1.368435508,-0.677660806,-0.335045538,0.754700775,0.65225423,-0.394,0.614334396,-0.27106193,-0.443777549,-0.696328557,-0.138501004,-0.728664189,-0.042161958,0.895721019,-0.394,-0.503169725,1.11887381,-0.512053911,-0.394,-0.394,0.189733433,-0.394,-0.394,2.356637388,0.87673446,0.755486378,-0.394,0.824496302,-0.394,1.004064508,-0.286792758,0.041452289,-0.284872661,2.358117007
12,male,62,-0.28587491,-0.394,1.111339148,1.372602192,0.091020461,1.689426958,0.170621902,-0.636775401,2.011867736,0.14762178,0.247195213,0.383374108,0.872260208,1.187243276,1.19492069,0.277331582,1.009599162,0.97260189,0.081652399,0.301897188,-0.293155872,0.822979372,1.374781461,-0.394,-0.032983964,-1.036258217,0.09766649,-0.790654253,-1.108305299,-0.778367901,-1.368435508,0.517042688,0.609187754,-0.394,0.5930226,-0.677660806,0.609187754,-0.738072273,0.08499231,-0.791239901,0.061805695,0.84054429,-0.394,-0.808253477,0.840748354,-0.663410254,-0.394,-0.394,0.230173372,-0.394,-0.394,2.340055542,0.894554609,0.34056676,-0.394,0.686171483,-0.394,0.848174255,-0.414514573,0.755486378,-0.484731027,2.179767484
13,male,52,-0.394,-0.843906896,-0.394,1.433293337,-1.112161589,0.860139009,0.109301661,-0.999024483,1.011150021,-0.712371155,-0.346186143,0.097349832,1.078951385,0.053370123,0.684383262,-0.149792132,1.050732415,0.399856806,-0.607923209,0.077937059,-0.586882633,0.942258123,0.414038097,0.031875016,-0.10816098,-0.770160824,0.174703211,-0.599382955,-1.249764764,-0.790654253,-1.108305299,-0.738531549,-0.250711714,-0.63444847,-0.208244115,-0.778367901,-0.250711714,-0.63444847,-0.208244115,-0.778367901,-1.368435508,1.379163908,-0.988870615,-0.394,0.356132138,-0.394,-1.216738565,-0.548877606,0.268494417,-0.394,0.818654707,1.725736395,0.888199816,0.433595012,0.662163383,0.544455066,-0.735623986,-0.267947245,0.041452289,0.34056676,-0.364512273,1.403945569
14,male,41,-0.394,-1.044782649,-0.394,1.316198507,-0.926073051,1.123460091,0.067976112,-0.942915597,1.308186764,-0.42290732,-0.213087093,-0.150951019,0.797250942,0.017426804,0.858863182,-0.198286601,0.791588743,0.204173761,-0.21073157,0.337326231,-0.405684247,0.639832197,0.800063325,-0.248025774,-0.009655463,-0.795670712,-0.213906843,-0.661204229,-1.180702073,-0.599382955,-1.249764764,-0.38112759,-0.032983964,-1.036258217,0.09766649,-0.790654253,-0.032983964,-1.036258217,0.09766649,-0.790654253,-1.108305299,1.25696534,-1.101490341,-0.394,0.665775385,-0.394,-0.950485959,-0.608587569,-0.079368649,-0.394,0.614000504,1.775315469,0.579970966,-0.112101678,1.031919323,0.220986262,-0.85740028,-0.098986286,0.755486378,0.433595012,-0.351445025,1.708697282
15,male,62,-0.394,-0.933593577,-0.394,1.502860558,-1.335641245,0.810464315,0.022143569,-0.852390094,0.993185084,-0.700720128,-0.562943162,-0.086743475,1.055149138,0.148144107,0.882492575,0.03275768,0.670305863,0.312665299,-0.598719686,0.6400494,0.020633691,0.836100959,0.173318794,0.008616145,0.049075294,-0.549476071,0.15401562,-0.840484522,-1.050383573,-0.661204229,-1.180702073,-0.912199011,-0.10816098,-0.770160824,0.174703211,-0.599382955,-0.10816098,-0.770160824,0.174703211,-0.599382955,-1.249764764,1.098107356,-1.271987744,-0.394,0.035966267,-0.394,-0.337813593,-0.440035814,0.162502057,-0.394,0.800254153,1.69999769,0.765042931,-0.471370132,0.547785184,0.489705834,-0.724984991,-0.475093839,0.34056676,-0.112101678,-0.442241425,1.261459879
16,male,50,-0.394,-0.904416576,-0.394,1.579052009,-1.182446489,0.962199927,0.086727659,-0.981318941,1.075946173,-0.578099179,-0.453704357,-0.032500411,1.125115969,0.262234488,0.70665264,0.018261293,0.882904581,0.233420574,-0.47297826,0.090296505,-0.303226499,0.923715883,0.458672432,0.113334417,-0.451751902,-0.78526582,0.202210275,-0.883534436,-1.290174942,-0.840484522,-1.050383573,-0.853564903,-0.009655463,-0.795670712,-0.213906843,-0.661204229,-0.009655463,-0.795670712,-0.213906843,-0.661204229,-1.180702073,1.523642837,-1.253203512,-0.394,0.225776347,-0.394,-0.468083042,-0.487912597,0.210562106,-0.394,0.795548172,1.628354476,0.839304697,-0.027969384,0.733024625,0.440733369,-0.700956295,-0.447708118,0.433595012,-0.471370132,-0.334189308,1.430965805
17,male,56,-0.394,-0.554487201,-0.394,1.485966889,-0.918624739,1.049722886,0.370378118,-0.810096258,1.285728291,-0.518366022,-0.216256977,0.18319303,1.131622922,0.159387524,1.031216877,-0.341604015,1.017106077,0.269093351,-0.350623245,1.115390422,-0.014485238,0.918160023,0.642558012,0.134723196,-0.138501004,-0.728664189,-0.042161958,-0.696328557,-1.103804752,-0.883534436,-1.290174942,-0.463032474,0.049075294,-0.549476071,0.15401562,-0.840484522,0.049075294,-0.549476071,0.15401562,-0.840484522,-1.050383573,1.106731086,-1.098556097,-0.394,0.487460412,-0.394,-0.108895347,-0.257288658,0.259328331,-0.394,1.077174966,1.808723671,0.922276733,-0.117202246,1.06479814,0.671686329,-0.461002772,-0.275220126,-0.112101678,-0.027969384,-0.427860266,1.698366422
18,male,63,-0.394,-1.042366204,-0.394,1.490989043,-1.233192162,0.735507635,0.037396052,-0.962210888,0.972297138,-0.841219066,-0.576990706,0.176170963,1.027761549,0.327209099,0.689294698,-0.427849014,1.018121236,0.304076613,-0.717623468,1.032886628,-0.108072152,0.914649343,0.378185347,0.059427542,0.08499231,-0.791239901,0.061805695,-0.738072273,-0.976635305,-0.696328557,-1.103804752,-0.627945161,-0.451751902,-0.78526582,0.202210275,-0.883534436,-0.451751902,-0.78526582,0.202210275,-0.883534436,-1.290174942,1.426839149,-1.184914941,-0.394,0.133450614,-0.394,-0.33839658,-0.36164584,0.175684017,-0.394,0.937129773,1.62029884,0.781922037,0.110013832,0.595178754,0.677665901,-0.735292893,-0.53937243,-0.471370132,-0.117202246,-0.433931444,1.388826791
19,male,47,-0.394,-0.906312053,-0.394,1.490116497,-1.043686965,1.039315957,-0.143771143,-0.838339083,1.220233748,-0.590146352,-0.263920454,-0.052232722,0.932064222,0.286315884,0.818165017,0.041370234,0.860441995,0.401820869,-0.386800586,0.905395117,-0.348783373,0.754181994,0.651484758,-0.045662331,-0.104983798,-0.821650037,0.040397611,-0.698039137,-1.188475172,-0.738072273,-0.976635305,-0.505125508,-0.138501004,-0.728664189,-0.042161958,-0.696328557,-0.138501004,-0.728664189,-0.042161958,-0.696328557,-1.103804752,1.335602264,-1.027824037,-0.394,0.522137157,-0.394,-1.332303056,-0.806532775,0.057015218,-0.394,0.576927211,1.749531763,0.703565436,0.096877494,0.86624093,0.273894956,-0.785763583,-0.114342396,-0.027969384,0.110013832,-0.280108576,1.606494252
